2019-05-12 01:51:24 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2019-05-12 01:51:25 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@719bb3b4{/jobs,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@43f0c2d1{/jobs/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5fb65013{/jobs/job,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3fbcfe81{/jobs/job/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7a1f45ed{/stages,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1744a475{/stages/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@444cc791{/stages/stage,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2eb917d0{/stages/stage/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@c6b2dd9{/stages/pool,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@73437222{/stages/pool/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@ca93621{/storage,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6a48a7f3{/storage/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3f985a86{/storage/rdd,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@57a2ed35{/storage/rdd/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@12ffd1de{/environment,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3d278b4d{/environment/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4096aa05{/executors,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@9d3c67{/executors/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c806c8b{/executors/threadDump,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6dfcffb5{/executors/threadDump/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@184fb68d{/static,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@702c436b{/,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5833f5cd{/api,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@760cf594{/jobs/job/kill,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@aa149ed{/stages/stage/kill,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  SparkUI:54 - Bound SparkUI to 0.0.0.0, and started at http://192.168.1.113:4040
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:///Users/abhishekkumar/.ivy2/jars/org.apache.spark_spark-sql-kafka-0-10_2.11-2.4.3.jar at spark://192.168.1.113:58208/jars/org.apache.spark_spark-sql-kafka-0-10_2.11-2.4.3.jar with timestamp 1557611485176
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:///Users/abhishekkumar/.ivy2/jars/org.apache.kafka_kafka-clients-2.0.0.jar at spark://192.168.1.113:58208/jars/org.apache.kafka_kafka-clients-2.0.0.jar with timestamp 1557611485177
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:///Users/abhishekkumar/.ivy2/jars/org.spark-project.spark_unused-1.0.0.jar at spark://192.168.1.113:58208/jars/org.spark-project.spark_unused-1.0.0.jar with timestamp 1557611485177
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:///Users/abhishekkumar/.ivy2/jars/org.lz4_lz4-java-1.4.0.jar at spark://192.168.1.113:58208/jars/org.lz4_lz4-java-1.4.0.jar with timestamp 1557611485177
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:///Users/abhishekkumar/.ivy2/jars/org.xerial.snappy_snappy-java-1.1.7.3.jar at spark://192.168.1.113:58208/jars/org.xerial.snappy_snappy-java-1.1.7.3.jar with timestamp 1557611485177
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:///Users/abhishekkumar/.ivy2/jars/org.slf4j_slf4j-api-1.7.16.jar at spark://192.168.1.113:58208/jars/org.slf4j_slf4j-api-1.7.16.jar with timestamp 1557611485177
2019-05-12 01:51:25 INFO  SparkContext:54 - Added JAR file:/Users/abhishekkumar/MineProjects/learnreactive/target/learnreactive-1.0-SNAPSHOT.jar at spark://192.168.1.113:58208/jars/learnreactive-1.0-SNAPSHOT.jar with timestamp 1557611485178
2019-05-12 01:51:25 INFO  Executor:54 - Starting executor ID driver on host localhost
2019-05-12 01:51:25 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 58209.
2019-05-12 01:51:25 INFO  NettyBlockTransferService:54 - Server created on 192.168.1.113:58209
2019-05-12 01:51:25 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2019-05-12 01:51:25 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, 192.168.1.113, 58209, None)
2019-05-12 01:51:25 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 192.168.1.113:58209 with 366.3 MB RAM, BlockManagerId(driver, 192.168.1.113, 58209, None)
2019-05-12 01:51:25 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, 192.168.1.113, 58209, None)
2019-05-12 01:51:25 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, 192.168.1.113, 58209, None)
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@45acdd11{/metrics/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  SharedState:54 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir ('file:/Users/abhishekkumar/MineProjects/learnreactive/spark-warehouse').
2019-05-12 01:51:25 INFO  SharedState:54 - Warehouse path is 'file:/Users/abhishekkumar/MineProjects/learnreactive/spark-warehouse'.
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6d11ceef{/SQL,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4cb2918c{/SQL/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@37468787{/SQL/execution,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@51ec2856{/SQL/execution/json,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@27e7c77f{/static/sql,null,AVAILABLE,@Spark}
2019-05-12 01:51:25 INFO  StateStoreCoordinatorRef:54 - Registered StateStoreCoordinator endpoint
2019-05-12 01:51:26 INFO  SparkContext:54 - Invoking stop() from shutdown hook
2019-05-12 01:51:26 INFO  AbstractConnector:318 - Stopped Spark@61dde151{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2019-05-12 01:51:26 INFO  SparkUI:54 - Stopped Spark web UI at http://192.168.1.113:4040
2019-05-12 01:51:26 INFO  MapOutputTrackerMasterEndpoint:54 - MapOutputTrackerMasterEndpoint stopped!
2019-05-12 01:51:26 INFO  MemoryStore:54 - MemoryStore cleared
2019-05-12 01:51:26 INFO  BlockManager:54 - BlockManager stopped
2019-05-12 01:51:26 INFO  BlockManagerMaster:54 - BlockManagerMaster stopped
2019-05-12 01:51:27 INFO  OutputCommitCoordinator$OutputCommitCoordinatorEndpoint:54 - OutputCommitCoordinator stopped!
2019-05-12 01:51:27 INFO  SparkContext:54 - Successfully stopped SparkContext
2019-05-12 01:51:27 INFO  ShutdownHookManager:54 - Shutdown hook called
2019-05-12 01:51:27 INFO  ShutdownHookManager:54 - Deleting directory /private/var/folders/14/dhgssz4s4758hpvkbdrsz94m0000gp/T/spark-061e3cfa-e90f-44cc-a80a-bb2956eb1045
2019-05-12 01:51:27 INFO  ShutdownHookManager:54 - Deleting directory /private/var/folders/14/dhgssz4s4758hpvkbdrsz94m0000gp/T/spark-9a63a9d1-85ff-4727-bd4f-3c87dcaaea37
2019-05-12 01:51:27 INFO  ShutdownHookManager:54 - Deleting directory /private/var/folders/14/dhgssz4s4758hpvkbdrsz94m0000gp/T/temporaryReader-a8b88882-6bf0-4dee-84a1-71a2c4a42d92
